2010 Full-time year round workers by occupation, gender, immigration status, race/ethnicity, and education age 35-44, wgtd 2008-10 ACS, SSDAN/U-Mich
5
Occup,GEnder,Immentry,RaceEth,Educ
5,2,5,7,4
TopWC,OtherWC,Service,TopBC,OtherBC
Male,Female
Native,FB<1980,FB80-89,FB90-99,FB00-Current
NhWhite,Black,Asian,Hispanic,AmIndian,NHOther,NHMulti
LTHS,HSGrad,SomeColl,CollGrad
0,0,53,127,106,0,0,
234,483,3343,5264,1127,155,0,
0,23,24,50,31,0,0,
29,0,73,97,27,0,0,
69,67,243,224,126,16,45,
0,0,180,22,29,0,0,
0,138,587,348,210,24,0,
0,0,27,0,0,0,0,
0,0,0,0,0,0,0,
0,0,144,19,0,30,0,
0,0,0,0,0,0,0,
24,226,1180,1473,270,72,0,
0,0,36,0,0,0,0,
34,0,0,0,0,0,0,
0,0,132,0,0,0,0,
43,0,59,0,0,0,0
*****
